blogName,filterLabel,category,defaultEnabled,blogURL,feedURL
Microsoft Azure Blog,Azure blog,Azure,FALSE,https://azure.microsoft.com/blog,https://azure.microsoft.com/en-us/blog/feed
Azure Government,Azure Government ,Azure,FALSE,https://devblogs.microsoft.com/azuregov,https://devblogs.microsoft.com/azuregov/feed
Azure SDK Blog,Azure SDK ,Azure,FALSE,https://devblogs.microsoft.com/azure-sdk,https://devblogs.microsoft.com/azure-sdk/feed
Azure SQL Dev Corner,Azure SQL ,Azure,FALSE,https://devblogs.microsoft.com/azure-sql,https://devblogs.microsoft.com/azure-sql/feed
Azure Cosmos DB Blog,Azure Cosmos DB ,Azure,FALSE,https://devblogs.microsoft.com/cosmosdb,https://devblogs.microsoft.com/cosmosdb/feed
All Things Azure,All Things Azure,Azure,FALSE,https://devblogs.microsoft.com/all-things-azure,https://devblogs.microsoft.com/all-things-azure/feed
Microsoft Foundry Blog ,Foundry,Azure,FALSE,https://techcommunity.microsoft.com/category/azure-ai-foundry/blog/azure-ai-foundry-blog,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=azure-ai-foundry-blog
Azure topics,Azure topics,Azure,FALSE,,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Azure
Azure Virtual Desktop Blog ,Azure Virtual Desktop,Azure,FALSE,,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureVirtualDesktopBlog
Official Microsoft Blog,Official Microsoft ,Corporate,FALSE,https://blogs.microsoft.com,https://blogs.microsoft.com/feed/
Microsoft Source,Microsoft Source,Corporate,FALSE,https://news.microsoft.com/source/feed/,https://news.microsoft.com/source/feed/
Microsoft On The Issues,Microsoft On The Issues,Corporate,FALSE,https://blogs.microsoft.com/on-the-issues,https://blogs.microsoft.com/on-the-issues/feed/
Fabric Updates Blog,Microsoft Fabric ,Data & Analytics,FALSE,https://blog.fabric.microsoft.com,https://community.fabric.microsoft.com/oxcrx34285/rss/board?board.id=fbc_fabricupdatesblogs
SQL Server Blog,SQL Server ,Data & Analytics,FALSE,https://techcommunity.microsoft.com/t5/sql-server-blog/bg-p/SQLServer,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=SQLServer
"Microsoft
Developer Blogs",Dev blogs,Developer,FALSE,https://devblogs.microsoft.com/,https://devblogs.microsoft.com/feed
.NET Blog,.NET ,Developer,FALSE,https://devblogs.microsoft.com/dotnet,https://devblogs.microsoft.com/dotnet/feed
C++ Team Blog,C++ Team ,Developer,FALSE,https://devblogs.microsoft.com/cppblog,https://devblogs.microsoft.com/cppblog/feed
Visual Studio Blog,Visual Studio ,Developer,FALSE,https://devblogs.microsoft.com/visualstudio,https://devblogs.microsoft.com/visualstudio/feed
VS Code Blog,VS Code ,Developer,FALSE,https://devblogs.microsoft.com/vscode-blog,https://code.visualstudio.com/feed.xml
Microsoft for Python Developers Blog,Python at Microsoft,Developer,FALSE,https://devblogs.microsoft.com/python,https://devblogs.microsoft.com/python/feed
Microsoft for Java Developers,Java at Microsoft,Developer,FALSE,https://devblogs.microsoft.com/java,https://devblogs.microsoft.com/java/feed
Microsoft for Go Developers,Go at Microsoft,Developer,FALSE,https://devblogs.microsoft.com/go,https://devblogs.microsoft.com/go/feed
OpenAPI at Microsoft,OpenAPI ,Developer,FALSE,https://devblogs.microsoft.com/openapi,https://devblogs.microsoft.com/openapi/feed
Microsoft Agent Framework,Agent Framework,Developer,FALSE,https://devblogs.microsoft.com/agent-framework/,https://devblogs.microsoft.com/agent-framework/feed/
DirectX Developer Blog,DirectX Developer ,Developer,FALSE,https://devblogs.microsoft.com/directx,https://devblogs.microsoft.com/directx/feed
Windows Command Line,Windows Command Line ,Developer,FALSE,https://devblogs.microsoft.com/commandline,https://devblogs.microsoft.com/commandline/feed
ISE Developer Blog,ISE Developer ,Developer,FALSE,https://devblogs.microsoft.com/ise,https://devblogs.microsoft.com/ise/feed
Engineering@Microsoft,Engineering,Developer,FALSE,https://devblogs.microsoft.com/engineering-at-microsoft,https://devblogs.microsoft.com/engineering-at-microsoft/feed
